entry	name	body_size
0040d010	FUN_0040d010	35
0040d0c8	FUN_0040d0c8	73
0040d210	FUN_0040d210	592
0040d488	FUN_0040d488	164
0040d52c	FUN_0040d52c	67
0040d570	FUN_0040d570	655
0040d838	FUN_0040d838	11
0040d844	FUN_0040d844	33
0040d868	FUN_0040d868	244
0040d95c	FUN_0040d95c	66
0040d9a0	FUN_0040d9a0	58
0040ddbc	FUN_0040ddbc	71
0040de04	FUN_0040de04	50
0040e160	FUN_0040e160	52
0040e194	FUN_0040e194	94
0040e200	FUN_0040e200	197
0040e2e4	FUN_0040e2e4	359
0040e47c	FUN_0040e47c	36
0040e4a0	FUN_0040e4a0	65
0040e4e4	FUN_0040e4e4	282
0040e600	FUN_0040e600	262
0040e724	FUN_0040e724	33
0040e748	FUN_0040e748	464
0040e948	FUN_0040e948	545
0040ec68	FUN_0040ec68	89
0040ecd0	FUN_0040ecd0	91
0040ed2c	FUN_0040ed2c	96
0040ed9c	FUN_0040ed9c	216
0040ee84	FUN_0040ee84	194
0040ef54	FUN_0040ef54	281
0040f07c	FUN_0040f07c	188
0040f230	FUN_0040f230	71
0040f2a8	FUN_0040f2a8	102
0040f318	FUN_0040f318	21
0040f330	FUN_0040f330	44
0040f35c	FUN_0040f35c	48
0040fa08	FUN_0040fa08	45
0040fa38	FUN_0040fa38	151
0040fad0	FUN_0040fad0	25
0040fb70	FUN_0040fb70	21
0040fb88	FUN_0040fb88	18
0040fc0c	FUN_0040fc0c	196
0040fcd8	FUN_0040fcd8	143
0040fda8	FUN_0040fda8	134
0040fe30	FUN_0040fe30	111
0040fed8	FUN_0040fed8	17
0040feec	FUN_0040feec	20
0040ff54	FUN_0040ff54	17
0040fff4	FUN_0040fff4	21
0041000c	FUN_0041000c	124
004100cc	FUN_004100cc	170
00410230	FUN_00410230	183
0041030c	FUN_0041030c	147
00410600	FUN_00410600	11
0041060c	FUN_0041060c	53
00410644	FUN_00410644	18
00410674	FUN_00410674	42
004106a0	FUN_004106a0	40
00410908	FUN_00410908	142
00410b48	FUN_00410b48	81
00410b9c	FUN_00410b9c	20
00410bc4	FUN_00410bc4	127
00410c44	FUN_00410c44	37
00410c6c	FUN_00410c6c	29
00411810	LocalAlloc	6
00411820	TlsGetValue	6
00411828	TlsSetValue	6
00411858	FUN_00411858	9
00411864	FUN_00411864	6
0041186c	FUN_0041186c	68
004118f4	FUN_004118f4	64
00417040	FUN_00417040	6
00419d0c	DelayLoad_RegDeleteKeyExW	1
00419da4	CompareStringW	6
00419ea4	FormatMessageW	6
00419f2c	GetLocalTime	6
00419ff4	DelayLoad_GetSystemTimes	1
0041a00c	DelayLoad_GetNativeSystemInfo	1
0041a064	DelayLoad_LocaleNameToLCID	1
0041a13c	LocalFree	6
0041a2b4	DelayLoad_AlphaBlend	1
0041a4dc	DelayLoad_GradientFill	1
0041a664	DelayLoad_AdjustWindowRectExForDpi	1
0041a6bc	CharUpperW	6
0041a6ec	DelayLoad_CloseTouchInputHandle	1
0041a8bc	DelayLoad_GetWindowDpiAwarenessContext	1
0041a8d4	DelayLoad_AreDpiAwarenessContextsEqual	1
0041a8ec	DelayLoad_GetDpiForWindow	1
0041a904	DelayLoad_IsTouchWindow	1
0041a9f4	GetSystemMetrics	6
0041a9fc	DelayLoad_GetSystemMetricsForDpi	1
0041aa1c	DelayLoad_GetTouchInputInfo	1
0041abd4	DelayLoad_RegisterTouchWindow	1
0041ac1c	DelayLoad_PhysicalToLogicalPoint	1
0041ad4c	DelayLoad_SystemParametersInfoForDpi	1
0041ad94	DelayLoad_UnregisterTouchWindow	1
0041adec	DelayLoad_WTSRegisterSessionNotification	1
0041ae04	DelayLoad_WTSUnRegisterSessionNotification	1
0041afe4	DelayLoad_GetGestureInfo	1
0041affc	DelayLoad_CloseGestureInfoHandle	1
0041b014	DelayLoad_SetGestureConfig	1
0041b080	DelayLoad_ProcessIdToSessionId	1
0041b098	DelayLoad_IsWow64Process	1
004218e8	FUN_004218e8	63
00421bbc	FUN_00421bbc	72
00421d74	FUN_00421d74	67
00421dc8	FUN_00421dc8	14
0042961c	FUN_0042961c	34
004298cc	FUN_004298cc	108
00429938	FUN_00429938	145
004299cc	FUN_004299cc	181
00429b74	FUN_00429b74	68
0042a1bc	FUN_0042a1bc	13
0042a1cc	FUN_0042a1cc	206
0042a29c	FUN_0042a29c	712
0042a564	FUN_0042a564	28
0042a580	FUN_0042a580	55
0042a5b8	FUN_0042a5b8	20
0042a5cc	FUN_0042a5cc	26
0042a5e8	FUN_0042a5e8	120
0042a660	FUN_0042a660	135
0042a6e8	FUN_0042a6e8	56
0042a720	FUN_0042a720	100
0042a784	FUN_0042a784	24
0042a79c	FUN_0042a79c	30
0042a810	FUN_0042a810	29
0042a8a8	FUN_0042a8a8	32
0042a8c8	FUN_0042a8c8	119
0042a990	FUN_0042a990	79
0042a9e0	FUN_0042a9e0	142
0042b628	FUN_0042b628	15
0042b69c	FUN_0042b69c	57
0042b784	FUN_0042b784	105
0042b83c	FUN_0042b83c	87
0042b970	FUN_0042b970	90
0042b9ec	FUN_0042b9ec	30
